Customer ID,Recency,Frequency,Monetary,AvgOrderValue,AvgQtyPerInvoice,UniqueProducts,PurchaseSpan,Cluster,ClusterName
12346.0,165,11,372.86,33.89636363636364,6.363636363636363,26,196,-1,Outliers
12347.0,3,2,1323.32,661.66,414.0,70,37,-1,Outliers
12348.0,74,1,222.16,222.16,373.0,20,0,0,At Risk
12349.0,43,3,2671.14,890.3800000000001,331.0,90,181,1,Champions
12351.0,11,1,300.93,300.93,261.0,21,0,0,At Risk
12352.0,11,2,343.8,171.89999999999998,94.0,18,16,1,Champions
12353.0,44,1,317.76,317.75999999999993,192.0,20,0,0,At Risk
12355.0,203,1,488.21000000000004,488.21,303.0,22,0,0,At Risk
12356.0,16,3,3562.25,1187.4166666666665,608.6666666666666,68,44,1,Champions
12357.0,24,2,12079.99,6039.995000000001,1939.5,165,0,-1,Outliers
12358.0,11,3,2719.01,906.3366666666667,277.0,52,356,1,Champions
12359.0,61,6,2563.36,427.2266666666667,188.33333333333334,110,308,1,Champions
12360.0,15,5,1590.83,318.166,258.8,74,276,1,Champions
12361.0,98,3,321.35,107.11666666666667,48.0,14,220,1,Champions
12362.0,374,1,130.0,130.0,1.0,1,0,-1,Outliers
12366.0,269,1,500.24,500.24,296.0,3,0,-1,Outliers
12368.0,264,1,917.6999999999999,917.6999999999999,330.0,18,0,0,At Risk
12369.0,49,3,1791.15,597.05,413.6666666666667,90,228,1,Champions
12370.0,260,3,774.62,258.20666666666665,84.0,33,44,1,Champions
12371.0,45,3,2179.42,726.4733333333334,281.6666666666667,91,235,1,Champions
12373.0,260,2,763.0500000000001,381.52500000000003,159.5,31,49,1,Champions
12374.0,57,3,2246.29,748.7633333333333,340.0,47,166,1,Champions
12376.0,25,2,503.15,251.57500000000002,120.0,11,28,1,Champions
12377.0,17,2,1798.2,899.1,580.5,75,208,1,Champions
12378.0,198,1,1407.7,1407.7,787.0,82,0,0,At Risk
12379.0,58,2,767.98,383.99,204.0,37,112,1,Champions
12380.0,101,7,6951.49,993.0699999999999,318.2857142857143,119,197,1,Champions
12385.0,15,1,1938.4,1938.3999999999999,612.0,65,0,-1,Outliers
12386.0,2,1,258.9,258.9,214.0,8,0,-1,Outliers
12387.0,51,1,143.94,143.94,134.0,9,0,0,At Risk
12388.0,81,2,1120.45,560.225,269.5,36,136,1,Champions
12389.0,38,3,1433.33,477.77666666666664,204.66666666666666,41,253,1,Champions
12391.0,100,5,2312.53,462.506,184.0,159,198,1,Champions
12392.0,227,1,234.75000000000003,234.75000000000003,73.0,7,0,0,At Risk
12393.0,18,2,816.85,408.42500000000007,247.5,38,46,1,Champions
12395.0,7,4,2048.64,512.1600000000001,403.75,83,231,1,Champions
12396.0,310,1,931.43,931.4300000000001,591.0,65,0,0,At Risk
12399.0,21,3,853.65,284.55,340.0,40,259,1,Champions
12400.0,50,1,205.25,205.25,91.0,11,0,0,At Risk
12402.0,28,5,1031.3,206.26000000000005,98.0,40,277,1,Champions
12403.0,157,1,591.6600000000001,591.6600000000001,164.0,4,0,-1,Outliers
12404.0,318,1,63.24,63.24,1.0,1,0,-1,Outliers
12406.0,35,3,2975.06,991.6866666666665,532.6666666666666,44,297,1,Champions
12408.0,21,3,1452.22,484.07333333333327,273.3333333333333,41,112,1,Champions
12409.0,56,4,12346.619999999999,3086.6549999999997,1898.0,125,144,-1,Outliers
12410.0,138,1,320.38,320.38,130.0,14,0,0,At Risk
12411.0,45,1,346.9,346.9,138.0,22,0,0,At Risk
12412.0,38,3,1370.05,456.6833333333334,389.3333333333333,50,137,1,Champions
12413.0,38,1,241.35,241.35,33.0,13,0,0,At Risk
12414.0,99,3,390.0,130.0,65.0,9,0,-1,Outliers
12415.0,11,7,19543.84,2791.977142857143,2010.4285714285713,169,152,-1,Outliers
12416.0,292,1,202.56,202.56,132.0,11,0,0,At Risk
12417.0,46,11,3167.81,287.9827272727273,121.63636363636364,144,323,1,Champions
12418.0,49,3,1352.62,450.8733333333333,227.0,61,216,1,Champions
12419.0,21,2,503.01,251.505,115.5,23,27,1,Champions
12421.0,51,2,291.56,145.78,84.0,18,90,1,Champions
12422.0,30,14,4428.24,316.30285714285714,159.0,109,327,1,Champions
12423.0,23,2,763.08,381.54,227.0,38,78,1,Champions
12424.0,58,2,1579.07,789.5350000000003,642.5,59,125,1,Champions
12425.0,84,1,964.21,964.2099999999999,651.0,55,0,0,At Risk
12426.0,298,1,762.48,762.4800000000002,326.0,47,0,0,At Risk
12427.0,7,1,303.5,303.5,79.0,10,0,0,At Risk
